Symbol,Name,TopPick_Rank,Passed,Score,Grade,Price,MCap_Cr,PE,PEG,ROE_%,ROCE_%,OPM_%,DebtEquity,PromoterHold_%,Pledge_%,SalesGr3Y_%,ProfitGr3Y_%,FCF_Cr,SL,Target_1Y,Target_3Y,Target_5Y,52W_High,52W_Low,Dist_52H_%,Range_Pos_%,Tech_Signal,Momentum,Entry_Quality,FailReasons
ACE,Action Construction Equipment ,20,True,13,🔥 STRONG,885.0,10538.0,25.4,0.75,22.9,31.7,,0.0,65.42,,14.9,33.9,67.0,708.0,1106.2,1746.1,2269.9,,,,,N/A,N/A,❌ AVOID,
AJANTPHARM,Ajanta Pharma Ltd,,True,13,🔥 STRONG,2929.0,36592.0,34.6,1.6,25.4,32.3,,0.06,66.25,,13.4,21.6,100.0,2343.2,3661.2,4595.4,7322.5,,,,,N/A,N/A,❌ AVOID,
ANANDRATHI,Anand Rathi Wealth Ltd,6,True,13,🔥 STRONG,3451.0,28648.0,72.5,2.2,47.3,59.2,,0.08,43.11,,30.9,32.9,345.0,2760.8,4313.8,5534.7,8627.5,,,,,N/A,N/A,❌ AVOID,
BLS,BLS International Services Ltd,18,True,13,🔥 STRONG,261.0,10742.0,15.6,0.3,32.7,29.3,,0.17,70.39,,25.5,52.5,457.0,208.8,326.2,869.8,1130.7,,,,,N/A,N/A,❌ AVOID,
CEMPRO,Cemindia Projects Ltd,17,True,13,🔥 STRONG,1071.0,18401.0,30.8,0.45,28.2,33.8,,0.38,67.46,,25.5,68.5,351.0,856.8,1338.8,2784.0,3619.2,,,,,N/A,N/A,❌ AVOID,
DOMS,DOMS Industries Ltd,,True,13,🔥 STRONG,2185.0,13261.0,57.6,1.77,20.7,24.3,,0.12,70.38,,24.3,32.6,105.0,1748.0,2731.2,4211.0,5474.3,,,,,N/A,N/A,❌ AVOID,
FORCEMOT,Force Motors Ltd,4,True,13,🔥 STRONG,19473.0,25658.0,24.3,0.22,29.2,36.1,,0.0,61.63,,21.7,108.4,397.0,15578.4,24341.2,50622.3,65809.0,,,,,N/A,N/A,❌ AVOID,
GODFRYPHLP,Godfrey Phillips India Ltd,,True,13,🔥 STRONG,2283.0,35608.0,23.3,0.77,26.6,32.8,,0.04,72.58,,21.5,30.3,545.0,1826.4,2853.8,4219.8,5707.5,,,,,N/A,N/A,❌ AVOID,
HBLENGINE,HBL Engineering Ltd,3,True,13,🔥 STRONG,823.0,22802.0,27.2,0.27,45.3,58.4,,0.03,59.11,,34.1,102.5,524.0,658.4,1028.8,2139.7,2781.6,,,,,N/A,N/A,❌ AVOID,
HINDCOPPER,Hindustan Copper Ltd,8,True,13,🔥 STRONG,539.0,52094.0,52.7,1.15,32.9,42.5,,0.03,66.14,,22.4,46.0,1040.0,431.2,673.8,1311.8,1705.3,,,,,N/A,N/A,❌ AVOID,
INDIAMART,Indiamart Intermesh Ltd,,True,13,🔥 STRONG,2016.0,12123.0,25.5,1.36,20.7,28.0,,0.01,49.12,,16.8,18.7,347.0,1612.8,2520.0,3024.0,5040.0,,,,,N/A,N/A,❌ AVOID,
IGIL,International Gemmological Ins,9,True,13,🔥 STRONG,372.0,16068.0,28.2,1.37,43.0,53.6,,0.1,76.55,,26.5,20.6,195.0,297.6,465.0,572.4,930.0,,,,,N/A,N/A,❌ AVOID,
IKS,Inventurus Knowledge Solutions,13,True,13,🔥 STRONG,1676.0,28764.0,39.9,1.2,40.3,36.9,,0.34,63.72,,45.8,33.3,464.0,1340.8,2095.0,3271.9,4253.5,,,,,N/A,N/A,❌ AVOID,
NBCC,NBCC (India) Ltd,19,True,13,🔥 STRONG,100.0,27070.0,40.9,1.06,24.1,31.0,,0.0,61.75,,13.2,38.7,689.0,80.0,125.0,214.4,278.7,,,,,N/A,N/A,❌ AVOID,
NEWGEN,Newgen Software Technologies L,,True,13,🔥 STRONG,443.0,6300.0,19.0,0.97,20.2,25.8,,0.02,53.52,,17.3,19.6,70.0,354.4,553.8,703.8,1107.5,,,,,N/A,N/A,❌ AVOID,
NAM-INDIA,Nippon Life India Asset Manage,11,True,13,🔥 STRONG,1100.0,70246.0,45.9,1.62,34.5,43.8,,0.02,71.93,,21.5,28.4,1140.0,880.0,1375.0,1963.6,2750.0,,,,,N/A,N/A,❌ AVOID,
RRKABEL,R R Kabel Ltd,,True,13,🔥 STRONG,2056.0,23258.0,45.9,1.23,21.4,28.1,,0.13,61.65,,20.2,37.3,32.0,1644.8,2570.0,4308.9,5601.6,,,,,N/A,N/A,❌ AVOID,
