symbol,event_date,ann_time,subject,data_type,swing_pct,normal_avg_pct,is_dangerous,gap_pct
LICHSGFIN,2026-01-30,21:30,Outcome of Board Meeting,daily_only,,,False,0.447
LICHSGFIN,2026-03-25,21:37,Outcome of Board Meeting,daily_only,,,False,0.746
LICHSGFIN,2026-05-13,22:01,Outcome of Board Meeting,intraday_5min,1.336,0.327,True,-2.63
MUTHOOTFIN,2025-05-14,16:38,Outcome of Board Meeting,daily_only,,,False,0.668
MUTHOOTFIN,2025-07-28,16:17,Outcome of Board Meeting,daily_only,,,False,-0.038
MUTHOOTFIN,2025-08-13,15:55,Outcome of Board Meeting,daily_only,,,True,8.769
MUTHOOTFIN,2025-11-13,15:51,Outcome of Board Meeting,daily_only,,,True,7.571
MUTHOOTFIN,2026-02-12,15:36,Outcome of Board Meeting,daily_only,,,True,-4.842
MUTHOOTFIN,2026-05-14,17:05,Outcome of Board Meeting,intraday_5min,1.709,0.313,True,-0.204
SHRIRAMFIN,2025-05-06,20:47,Outcome of Board Meeting,daily_only,,,False,-0.842
SHRIRAMFIN,2025-07-25,13:43,Outcome of Board Meeting,daily_only,,,False,0.0
SHRIRAMFIN,2025-10-31,14:33,Outcome of Board Meeting,daily_only,,,True,1.856
SHRIRAMFIN,2025-12-19,12:13,Outcome of Board Meeting,daily_only,,,True,1.919
SHRIRAMFIN,2026-01-23,13:56,Outcome of Board Meeting,daily_only,,,,
SHRIRAMFIN,2026-04-08,10:41,Outcome of Board Meeting,daily_only,,,False,-1.28
SHRIRAMFIN,2026-04-24,15:05,Outcome of Board Meeting,intraday_5min,4.685,0.452,True,0.0
HDFCLIFE,2025-07-15,15:47,Outcome of Board Meeting,daily_only,,,False,1.077
HDFCLIFE,2025-10-15,15:31,Outcome of Board Meeting,daily_only,,,False,-0.158
HDFCLIFE,2026-01-15,16:47,Outcome of Board Meeting,daily_only,,,,
HDFCLIFE,2026-04-16,16:29,Outcome of Board Meeting,intraday_5min,0.688,0.267,True,-1.987
SBILIFE,2025-07-24,15:22,Outcome of Board Meeting,daily_only,,,False,1.137
SBILIFE,2025-10-24,15:27,Outcome of Board Meeting,daily_only,,,True,2.196
SBILIFE,2026-01-28,14:43,Outcome of Board Meeting,daily_only,,,False,0.205
SBILIFE,2026-02-25,18:31,Outcome of Board Meeting,daily_only,,,False,0.309
SBILIFE,2026-04-22,15:31,Outcome of Board Meeting,intraday_5min,0.419,0.246,False,-1.051
ICICIGI,2025-07-15,17:47,Outcome of Board Meeting,daily_only,,,False,1.363
ICICIGI,2025-10-14,17:51,Outcome of Board Meeting,daily_only,,,True,2.173
ICICIGI,2026-01-13,17:37,Outcome of Board Meeting,daily_only,,,False,-0.239
ICICIGI,2026-04-15,19:01,Outcome of Board Meeting,intraday_5min,1.27,0.266,False,0.495
LICI,2025-05-27,18:16,Outcome of Board Meeting,daily_only,,,True,2.388
