Symbol,Name,TopPick_Rank,Passed,Score,Grade,Price,MCap_Cr,PE,PEG,ROE_%,ROCE_%,OPM_%,DebtEquity,PromoterHold_%,Pledge_%,SalesGr3Y_%,ProfitGr3Y_%,FCF_Cr,SL,Target_1Y,Target_3Y,Target_5Y,52W_High,52W_Low,Dist_52H_%,Range_Pos_%,Tech_Signal,Momentum,Entry_Quality,FailReasons
PERSISTENT,Persistent Systems Ltd,,False,12,FAIL,5106.0,80548.0,41.7,1.57,27.3,34.4,,0.06,30.29,,20.9,26.5,1157.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:30.29(need >40.0)
BSE,BSE Ltd,,False,11,FAIL,4403.0,179346.0,72.2,0.56,44.8,58.0,,0.0,,,73.5,129.4,364.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:N/A | MCap:179346.0(₹200-100000cr)
CDSL,Central Depository Services (I,,False,11,FAIL,1226.0,25630.0,56.2,3.1,24.5,32.0,,0.0,15.0,,27.3,18.1,282.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:15.0(need >40.0)
ELECON,Elecon Engineering Company Ltd,,False,11,FAIL,525.0,11790.0,33.0,2.6,16.6,21.0,,0.12,59.28,,15.6,12.7,94.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:16.6(need >20.0)
HEROMOTOCO,Hero MotoCorp Ltd,,False,11,FAIL,4983.0,99669.0,17.1,0.63,28.5,35.8,,0.04,34.73,,11.5,27.3,3837.0,,,,,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:11.5(need >12.0) | Prom%:34.73(need >40.0)
HINDPETRO,Hindustan Petroleum Corporatio,,False,11,FAIL,398.0,84677.0,4.69,0.13,30.9,22.2,,0.85,54.9,,0.1,35.3,24707.0,,,,,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:0.1(need >12.0) | D/E:0.85(need <0.75)
JAINREC,Jain Resource Recycling Ltd,,False,11,FAIL,399.0,13774.0,39.1,0.7,30.8,25.5,,0.82,73.59,,46.0,55.7,-700.0,,,,,,,,,N/A,N/A,❌ AVOID,D/E:0.82(need <0.75) | FCF:-700.0(need>0)
NAVINFLUOR,Navin Fluorine International L,,False,11,FAIL,7396.0,37949.0,56.8,2.7,20.3,21.4,,0.32,27.1,,16.9,21.0,-341.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:27.1(need >40.0) | FCF:-341.0(need>0)
NEULANDLAB,Neuland Laboratories Ltd,,False,11,FAIL,17071.0,21922.0,60.2,1.98,21.4,26.6,,0.16,32.63,,19.3,30.4,-77.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:32.63(need >40.0) | FCF:-77.0(need>0)
PREMIERENE,Premier Energies Ltd,,False,11,FAIL,1017.0,46198.0,30.6,0.11,42.4,33.3,,0.86,63.94,,76.3,287.3,-895.0,,,,,,,,,N/A,N/A,❌ AVOID,D/E:0.86(need <0.75) | FCF:-895.0(need>0)
TRENT,Trent Ltd,,False,11,FAIL,4240.0,150744.0,86.7,1.37,27.9,27.8,,0.37,37.01,,34.5,63.5,1090.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:37.01(need >40.0) | MCap:150744.0(₹200-100000cr)
VIJAYA,Vijaya Diagnostic Centre Ltd,,False,11,FAIL,1260.0,12973.0,75.0,2.81,19.7,21.3,,0.44,52.51,,21.0,26.7,97.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:19.7(need >20.0)
ALKEM,Alkem Laboratories Ltd,,False,10,FAIL,5380.0,64331.0,26.8,0.79,19.4,20.4,,0.18,51.2,,7.1,34.0,625.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:19.4(need >20.0) | SalesG3Y%:7.1(need >12.0)
APARINDS,Apar Industries Ltd,,False,10,FAIL,12536.0,50332.0,50.8,3.36,19.5,32.7,,0.15,57.77,,14.5,15.1,586.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:19.5(need >20.0)
BSOFT,Birlasoft Ltd,,False,10,FAIL,324.0,9067.0,16.6,1.04,14.4,21.6,,0.03,40.39,,3.5,16.0,338.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:14.4(need >20.0) | SalesG3Y%:3.5(need >12.0)
BBTC,The Bombay Burmah Trading Corp,,False,10,FAIL,1533.0,10707.0,8.86,0.19,19.1,33.0,,0.23,74.04,,5.5,45.6,1231.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:19.1(need >20.0) | SalesG3Y%:5.5(need >12.0)
HAVELLS,Havells India Ltd,,False,10,FAIL,1201.0,75315.0,44.5,2.71,19.0,24.9,,0.03,59.38,,10.0,16.4,677.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:19.0(need >20.0) | SalesG3Y%:10.0(need >12.0)
JBCHEPHARM,J B Chemicals & Pharmaceutical,,False,10,FAIL,2190.0,35193.0,48.2,2.41,19.2,25.8,,0.0,48.8,,9.6,20.0,118.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:19.2(need >20.0) | SalesG3Y%:9.6(need >12.0)
JWL,Jupiter Wagons Ltd,,False,10,FAIL,290.0,12387.0,49.1,1.9,17.4,21.1,,0.27,68.31,,15.4,25.8,-524.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:17.4(need >20.0) | FCF:-524.0(need>0)
KEI,KEI Industries Ltd,,False,10,FAIL,5306.0,50733.0,55.2,2.26,14.8,20.1,,0.04,35.0,,19.4,24.4,490.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:14.8(need >20.0) | Prom%:35.0(need >40.0)
KAJARIACER,Kajaria Ceramics Ltd,,False,10,FAIL,1066.0,16975.0,32.6,2.69,17.9,23.3,,0.07,47.69,,3.3,12.1,328.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:17.9(need >20.0) | SalesG3Y%:3.3(need >12.0)
LLOYDSME,Lloyds Metals & Energy Ltd,,False,10,FAIL,1854.0,104390.0,28.4,0.12,36.3,27.2,,1.49,61.65,,72.2,240.5,-7622.0,,,,,,,,,N/A,N/A,❌ AVOID,D/E:1.49(need <0.75) | FCF:-7622.0(need>0) | MCap:104390.0(₹200-100000cr)
OLECTRA,Olectra Greentech Ltd,,False,10,FAIL,1230.0,10104.0,70.7,2.45,14.3,20.5,,0.33,50.02,,24.7,28.8,-84.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:14.3(need >20.0) | FCF:-84.0(need>0)
RECLTD,REC Ltd,,False,10,FAIL,338.0,88859.0,5.44,0.4,20.0,9.71,,6.05,52.63,,14.7,13.5,2664.0,,,,,,,,,N/A,N/A,❌ AVOID,ROCE%:9.71(need >20.0) | D/E:6.05(need <0.75)
SONATSOFTW,Sonata Software Ltd,,False,10,FAIL,270.0,7581.0,14.9,16.56,28.2,30.6,,0.38,28.17,,12.8,0.9,321.0,,,,,,,,,N/A,N/A,❌ AVOID,ProfG3Y%:0.9(need >12.0) | Prom%:28.17(need >40.0)
SUZLON,Suzlon Energy Ltd,,False,10,FAIL,54.6,74409.0,23.5,7.58,40.6,35.1,,0.06,11.73,,41.0,3.1,288.0,,,,,,,,,N/A,N/A,❌ AVOID,ProfG3Y%:3.1(need >12.0) | Prom%:11.73(need >40.0)
SYRMA,Syrma SGS Technology Ltd,,False,10,FAIL,1057.0,20398.0,63.5,1.54,18.3,20.0,,0.12,42.28,,33.0,41.2,-452.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:18.3(need >20.0) | FCF:-452.0(need>0)
TITAN,Titan Company Ltd,,False,10,FAIL,4106.0,364678.0,70.8,4.51,37.7,25.8,,0.93,52.9,,29.2,15.7,2656.0,,,,,,,,,N/A,N/A,❌ AVOID,D/E:0.93(need <0.75) | MCap:364678.0(₹200-100000cr)
TARIL,Transformers & Rectifiers Indi,,False,10,FAIL,321.0,9635.0,36.4,0.42,19.1,23.3,,0.3,64.36,,21.6,86.4,-112.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:19.1(need >20.0) | FCF:-112.0(need>0)
WELCORP,Welspun Corp Ltd,,False,10,FAIL,1319.0,34830.0,21.6,0.21,19.4,22.9,,0.26,49.73,,19.8,101.2,-519.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:19.4(need >20.0) | FCF:-519.0(need>0)
ZENSARTECH,Zensar Technologies Ltd,,False,10,FAIL,488.0,11090.0,14.0,0.42,18.1,23.5,,0.02,49.01,,5.5,33.2,530.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:18.1(need >20.0) | SalesG3Y%:5.5(need >12.0)
CPPLUS,Aditya Infotech Ltd,,False,9,FAIL,2649.0,31194.0,123.0,3.73,20.9,19.5,,0.08,74.75,,18.2,33.0,115.0,,,,,,,,,N/A,N/A,❌ AVOID,ROCE%:19.5(need >20.0)
AFFLE,Affle 3i Ltd,,False,9,FAIL,1486.0,21043.0,46.3,2.02,13.8,16.8,,0.0,54.92,,23.6,22.9,128.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:13.8(need >20.0) | ROCE%:16.8(need >20.0)
MAHABANK,Bank of Maharashtra,,False,9,FAIL,80.2,61633.0,8.78,0.22,22.7,6.03,,1.06,73.6,,22.6,39.1,-11842.0,,,,,,,,,N/A,N/A,❌ AVOID,ROCE%:6.03(need >20.0) | D/E:1.06(need <0.75) | FCF:-11842.0(need>0)
BHARTIARTL,Bharti Airtel Ltd,,False,9,FAIL,1847.0,1125217.0,39.2,0.98,21.9,18.5,,1.31,48.87,,14.9,40.1,63696.0,,,,,,,,,N/A,N/A,❌ AVOID,ROCE%:18.5(need >20.0) | D/E:1.31(need <0.75) | MCap:1125217.0(₹200-100000cr)
BIKAJI,Bikaji Foods International Ltd,,False,9,FAIL,639.0,16018.0,61.3,2.65,17.5,19.7,,0.19,73.88,,15.1,23.1,15.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:17.5(need >20.0) | ROCE%:19.7(need >20.0)
GROWW,Billionbrains Garage Ventures ,,False,9,FAIL,189.0,118470.0,56.9,,28.8,37.3,,0.03,27.38,,59.6,,-1372.0,,,,,,,,,N/A,N/A,❌ AVOID,ProfG3Y%:N/A | Prom%:27.38(need >40.0) | FCF:-1372.0(need>0) | MCap:118470.0(₹200-100000cr)
BOSCHLTD,Bosch Ltd,,False,9,FAIL,35835.0,105656.0,45.0,1.81,16.4,21.5,,0.01,70.54,,10.3,24.8,1591.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:16.4(need >20.0) | SalesG3Y%:10.3(need >12.0) | MCap:105656.0(₹200-100000cr)
CLEAN,Clean Science & Technology Ltd,,False,9,FAIL,747.0,7933.0,34.5,,15.3,20.6,,0.0,51.29,,0.7,-8.0,72.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:15.3(need >20.0) | SalesG3Y%:0.7(need >12.0) | ProfG3Y%:-8.0(need >12.0)
COROMANDEL,Coromandel International Ltd,,False,9,FAIL,1847.0,54455.0,27.1,,17.0,22.8,,0.12,56.35,,2.0,-1.9,999.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:17.0(need >20.0) | SalesG3Y%:2.0(need >12.0) | ProfG3Y%:-1.9(need >12.0)
EIHOTEL,EIH Ltd,,False,9,FAIL,320.0,20005.0,28.0,1.08,14.5,20.7,,0.05,32.85,,13.3,25.9,0.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:14.5(need >20.0) | Prom%:32.85(need >40.0) | FCF:0(need>0)
ELGIEQUIP,Elgi Equipments Ltd,,False,9,FAIL,563.0,17840.0,43.0,14.83,20.1,21.9,,0.26,31.19,,8.0,2.9,108.0,,,,,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:8.0(need >12.0) | ProfG3Y%:2.9(need >12.0) | Prom%:31.19(need >40.0)
ERIS,ERIS Lifesciences Ltd,,False,9,FAIL,1361.0,18879.0,29.9,1.49,18.7,14.1,,0.6,53.92,,22.9,20.1,169.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:18.7(need >20.0) | ROCE%:14.1(need >20.0)
HSCL,Himadri Speciality Chemical Lt,,False,9,FAIL,606.0,30650.0,40.9,0.79,17.8,22.1,,0.16,52.49,,3.8,51.8,-581.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:17.8(need >20.0) | SalesG3Y%:3.8(need >12.0) | FCF:-581.0(need>0)
HUDCO,Housing & Urban Development Co,,False,9,FAIL,207.0,41284.0,10.2,0.31,20.2,8.41,,6.45,75.0,,22.9,33.4,-34796.0,,,,,,,,,N/A,N/A,❌ AVOID,ROCE%:8.41(need >20.0) | D/E:6.45(need <0.75) | FCF:-34796.0(need>0)
IDBI,IDBI Bank Ltd,,False,9,FAIL,72.9,78396.0,8.51,0.24,14.2,6.5,,0.41,94.72,,12.1,35.3,18184.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:14.2(need >20.0) | ROCE%:6.5(need >20.0)
IOC,Indian Oil Corporation Ltd,,False,9,FAIL,142.0,201128.0,4.78,0.09,20.7,18.8,,0.6,51.5,,-2.3,55.1,53868.0,,,,,,,,,N/A,N/A,❌ AVOID,ROCE%:18.8(need >20.0) | SalesG3Y%:-2.3(need >12.0) | MCap:201128.0(₹200-100000cr)
INFY,Infosys Ltd,,False,9,FAIL,1168.0,473518.0,15.7,2.28,31.9,40.0,,0.1,14.38,,6.8,6.9,37532.0,,,,,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:6.8(need >12.0) | ProfG3Y%:6.9(need >12.0) | Prom%:14.38(need >40.0) | MCap:473518.0(₹200-100000cr)
INDIGO,Interglobe Aviation Ltd,,False,9,FAIL,4481.0,173355.0,37.8,0.22,103.0,17.3,,8.67,41.57,,15.9,173.5,11393.0,,,,,,,,,N/A,N/A,❌ AVOID,ROCE%:17.3(need >20.0) | D/E:8.67(need <0.75) | MCap:173355.0(₹200-100000cr)
IPCALAB,Ipca Laboratories Ltd,,False,9,FAIL,1578.0,39980.0,37.9,1.5,12.8,14.7,,0.17,44.72,,15.3,25.2,451.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:12.8(need >20.0) | ROCE%:14.7(need >20.0)
LTFOODS,L T Foods Ltd,,False,9,FAIL,410.0,14274.0,22.8,1.64,14.9,17.7,,0.36,51.0,,16.4,13.9,65.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:14.9(need >20.0) | ROCE%:17.7(need >20.0)
LODHA,Lodha Developers Ltd,,False,9,FAIL,904.0,90499.0,26.4,0.29,15.8,16.6,,0.42,72.27,,20.8,91.3,179.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:15.8(need >20.0) | ROCE%:16.6(need >20.0)
NUVAMA,Nuvama Wealth Management Ltd,,False,9,FAIL,1513.0,27590.0,26.5,0.52,27.4,17.5,,2.8,54.13,,27.7,50.5,-3142.0,,,,,,,,,N/A,N/A,❌ AVOID,ROCE%:17.5(need >20.0) | D/E:2.8(need <0.75) | FCF:-3142.0(need>0)
PATANJALI,Patanjali Foods Ltd,,False,9,FAIL,466.0,50695.0,30.2,0.38,11.4,,,0.24,68.25,,47.7,79.9,183.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:11.4(need >20.0) | ROCE%:N/A
PETRONET,Petronet LNG Ltd,,False,9,FAIL,280.0,42060.0,10.8,1.93,18.6,22.7,,0.11,50.0,,-10.1,5.6,3278.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:18.6(need >20.0) | SalesG3Y%:-10.1(need >12.0) | ProfG3Y%:5.6(need >12.0)
POLYMED,Poly Medicure Ltd,,False,9,FAIL,1440.0,14678.0,44.8,2.08,11.2,14.0,,0.11,62.42,,18.9,21.5,21.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:11.2(need >20.0) | ROCE%:14.0(need >20.0)
RITES,Rites Ltd,,False,9,FAIL,205.0,9869.0,24.0,,15.4,22.0,,0.0,72.2,,-2.8,-7.4,453.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:15.4(need >20.0) | SalesG3Y%:-2.8(need >12.0) | ProfG3Y%:-7.4(need >12.0)
SAGILITY,Sagility Ltd,,False,9,FAIL,41.7,19526.0,20.6,0.24,10.5,13.4,,0.12,50.95,,19.5,85.9,492.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:10.5(need >20.0) | ROCE%:13.4(need >20.0)
SPLPETRO,Supreme Petrochem Ltd,,False,9,FAIL,671.0,12604.0,37.4,0.26,14.2,,,0.06,64.24,,53.9,143.0,57.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:14.2(need >20.0) | ROCE%:N/A
SWANCORP,Swan Corp Ltd,,False,9,FAIL,319.0,9991.0,,,-4.47,-1.44,,0.34,53.96,,44.7,856.1,817.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:-4.47(need >20.0) | ROCE%:-1.44(need >20.0)
TECHNOE,Techno Electric & Engineering ,,False,9,FAIL,1201.0,13994.0,31.2,0.86,11.4,14.8,,0.02,56.93,,57.6,36.3,113.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:11.4(need >20.0) | ROCE%:14.8(need >20.0)
UNOMINDA,Uno Minda Ltd,,False,9,FAIL,1115.0,64447.0,53.0,2.37,19.4,19.7,,0.4,68.36,,20.5,22.4,68.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:19.4(need >20.0) | ROCE%:19.7(need >20.0)
USHAMART,Usha Martin Ltd,,False,9,FAIL,481.0,14649.0,29.1,2.94,16.6,20.2,,0.07,40.52,,4.1,9.9,288.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:16.6(need >20.0) | SalesG3Y%:4.1(need >12.0) | ProfG3Y%:9.9(need >12.0)
VMM,Vishal Mega Mart Ltd,,False,9,FAIL,121.0,56592.0,67.4,1.79,12.2,14.8,,0.27,40.12,,19.4,37.7,633.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:12.2(need >20.0) | ROCE%:14.8(need >20.0)
ZFCVINDIA,ZF Commercial Vehicle Control ,,False,9,FAIL,14884.0,28244.0,54.0,3.07,15.2,20.3,,0.01,60.0,,6.1,17.6,103.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:15.2(need >20.0) | SalesG3Y%:6.1(need >12.0)
ZENTEC,Zen Technologies Ltd,,False,9,FAIL,1603.0,14468.0,75.0,1.18,10.7,16.2,,0.01,48.51,,46.5,63.4,83.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:10.7(need >20.0) | ROCE%:16.2(need >20.0)
AWL,AWL Agri Business Ltd,,False,8,FAIL,193.0,25086.0,23.6,1.1,10.7,18.3,,0.11,56.94,,8.7,21.5,2862.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:10.7(need >20.0) | ROCE%:18.3(need >20.0) | SalesG3Y%:8.7(need >12.0)
ADANIPORTS,Adani Ports & Special Economic,,False,8,FAIL,1811.0,417282.0,32.1,0.96,16.4,14.1,,0.66,68.02,,22.9,33.3,7165.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:16.4(need >20.0) | ROCE%:14.1(need >20.0) | MCap:417282.0(₹200-100000cr)
ABDL,Allied Blenders & Distillers L,,False,8,FAIL,545.0,15241.0,66.2,0.17,14.4,18.4,,0.69,80.91,,7.6,379.1,31.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:14.4(need >20.0) | ROCE%:18.4(need >20.0) | SalesG3Y%:7.6(need >12.0)
ANANTRAJ,Anant Raj Ltd,,False,8,FAIL,504.0,18123.0,32.7,0.59,11.2,12.1,,0.12,57.41,,37.9,55.2,-666.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:11.2(need >20.0) | ROCE%:12.1(need >20.0) | FCF:-666.0(need>0)
APOLLOHOSP,Apollo Hospitals Enterprise Lt,,False,8,FAIL,8258.0,118733.0,60.7,1.82,22.1,17.9,,0.9,28.02,,14.9,33.4,708.0,,,,,,,,,N/A,N/A,❌ AVOID,ROCE%:17.9(need >20.0) | D/E:0.9(need <0.75) | Prom%:28.02(need >40.0) | MCap:118733.0(₹200-100000cr)
APTUS,Aptus Value Housing Finance In,,False,8,FAIL,260.0,13042.0,13.8,0.59,20.1,15.4,,1.56,23.86,,26.1,23.3,-664.0,,,,,,,,,N/A,N/A,❌ AVOID,ROCE%:15.4(need >20.0) | D/E:1.56(need <0.75) | Prom%:23.86(need >40.0) | FCF:-664.0(need>0)
ASHOKLEY,Ashok Leyland Ltd,,False,8,FAIL,161.0,94316.0,26.2,0.69,28.8,14.3,,4.33,51.51,,8.9,38.2,-5631.0,,,,,,,,,N/A,N/A,❌ AVOID,ROCE%:14.3(need >20.0) | SalesG3Y%:8.9(need >12.0) | D/E:4.33(need <0.75) | FCF:-5631.0(need>0)
AUROPHARMA,Aurobindo Pharma Ltd,,False,8,FAIL,1461.0,84934.0,23.9,1.09,10.1,12.8,,0.21,51.82,,10.6,22.0,2067.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:10.1(need >20.0) | ROCE%:12.8(need >20.0) | SalesG3Y%:10.6(need >12.0)
BAJAJHLDNG,Bajaj Holdings & Investment Lt,,False,8,FAIL,10705.0,119432.0,14.6,0.57,12.0,11.0,,0.0,51.46,,27.0,25.6,1085.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:12.0(need >20.0) | ROCE%:11.0(need >20.0) | MCap:119432.0(₹200-100000cr)
BANKINDIA,Bank of India,,False,8,FAIL,145.0,65991.0,6.23,0.16,12.4,5.93,,1.32,73.38,,16.4,39.0,4424.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:12.4(need >20.0) | ROCE%:5.93(need >20.0) | D/E:1.32(need <0.75)
BAYERCROP,Bayer CropScience Ltd,,False,8,FAIL,4501.0,20206.0,410.0,,15.8,20.1,,0.34,71.44,,,,22.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:15.8(need >20.0) | SalesG3Y%:N/A | ProfG3Y%:N/A
BELRISE,Belrise Industries Ltd,,False,8,FAIL,217.0,19348.0,38.6,2.34,12.6,14.5,,0.29,66.46,,13.0,16.5,0.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:12.6(need >20.0) | ROCE%:14.5(need >20.0) | FCF:0(need>0)
BERGEPAINT,Berger Paints India Ltd,,False,8,FAIL,516.0,59965.0,51.4,5.41,17.8,22.2,,0.09,74.98,,4.0,9.5,564.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:17.8(need >20.0) | SalesG3Y%:4.0(need >12.0) | ProfG3Y%:9.5(need >12.0)
MAPMYINDIA,C.E. Info Systems Ltd,,False,8,FAIL,843.0,4609.0,34.4,4.59,15.8,22.0,,0.01,51.41,,19.0,7.5,0.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:15.8(need >20.0) | ProfG3Y%:7.5(need >12.0) | FCF:0(need>0)
CARTRADE,Cartrade Tech Ltd,,False,8,FAIL,1700.0,8147.0,35.7,0.43,9.69,11.8,,0.06,,,28.9,82.7,26.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:9.69(need >20.0) | ROCE%:11.8(need >20.0) | Prom%:N/A
CENTRALBK,Central Bank of India,,False,8,FAIL,31.0,28060.0,6.28,0.16,11.8,5.62,,0.82,89.27,,12.1,39.0,2350.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:11.8(need >20.0) | ROCE%:5.62(need >20.0) | D/E:0.82(need <0.75)
CHALET,Chalet Hotels Ltd,,False,8,FAIL,789.0,17278.0,26.8,0.51,19.2,17.1,,0.64,67.29,,34.9,52.2,0.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:19.2(need >20.0) | ROCE%:17.1(need >20.0) | FCF:0(need>0)
CHOICEIN,Choice International Ltd,,False,8,FAIL,688.0,15325.0,70.4,1.21,16.1,18.0,,0.54,53.66,,41.7,58.3,-544.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:16.1(need >20.0) | ROCE%:18.0(need >20.0) | FCF:-544.0(need>0)
COCHINSHIP,Cochin Shipyard Ltd,,False,8,FAIL,1526.0,40161.0,56.0,1.7,12.5,16.0,,0.28,67.91,,28.5,33.0,-907.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:12.5(need >20.0) | ROCE%:16.0(need >20.0) | FCF:-907.0(need>0)
COHANCE,Cohance Lifesciences Ltd,,False,8,FAIL,435.0,16640.0,84.3,,7.04,8.35,,0.1,57.49,,19.2,-28.5,113.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:7.04(need >20.0) | ROCE%:8.35(need >20.0) | ProfG3Y%:-28.5(need >12.0)
DLF,DLF Ltd,,False,8,FAIL,590.0,145982.0,34.5,1.17,9.62,6.34,,0.01,74.08,,12.9,29.5,7068.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:9.62(need >20.0) | ROCE%:6.34(need >20.0) | MCap:145982.0(₹200-100000cr)
DABUR,Dabur India Ltd,,False,8,FAIL,448.0,79399.0,41.6,13.0,17.2,20.4,,0.11,66.25,,4.6,3.2,1294.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:17.2(need >20.0) | SalesG3Y%:4.6(need >12.0) | ProfG3Y%:3.2(need >12.0)
DIVISLAB,Divis Laboratories Ltd,,False,8,FAIL,6753.0,179185.0,68.3,5.64,16.5,22.0,,0.0,51.88,,10.8,12.1,519.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:16.5(need >20.0) | SalesG3Y%:10.8(need >12.0) | MCap:179185.0(₹200-100000cr)
ENDURANCE,Endurance Technologies Ltd,,False,8,FAIL,2733.0,38488.0,39.8,1.55,15.4,18.3,,0.19,75.0,,18.4,25.6,0.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:15.4(need >20.0) | ROCE%:18.3(need >20.0) | FCF:0(need>0)
ESCORTS,Escorts Kubota Ltd,,False,8,FAIL,2940.0,32888.0,24.4,0.44,11.9,15.7,,0.01,68.04,,11.0,55.5,253.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:11.9(need >20.0) | ROCE%:15.7(need >20.0) | SalesG3Y%:11.0(need >12.0)
FSL,Firstsource Solutions Ltd,,False,8,FAIL,278.0,19621.0,26.1,2.75,17.7,16.2,,0.67,53.66,,16.6,9.5,762.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:17.7(need >20.0) | ROCE%:16.2(need >20.0) | ProfG3Y%:9.5(need >12.0)
GRAPHITE,Graphite India Ltd,,False,8,FAIL,756.0,14782.0,42.5,2.39,8.0,10.1,,0.05,65.34,,-5.3,17.8,298.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:8.0(need >20.0) | ROCE%:10.1(need >20.0) | SalesG3Y%:-5.3(need >12.0)
GRAVITA,Gravita India Ltd,,False,8,FAIL,1662.0,12272.0,32.4,1.42,16.8,17.0,,0.3,55.88,,15.0,22.8,-195.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:16.8(need >20.0) | ROCE%:17.0(need >20.0) | FCF:-195.0(need>0)
HONASA,Honasa Consumer Ltd,,False,8,FAIL,396.0,12890.0,63.3,0.44,15.7,19.2,,0.1,35.54,,17.0,142.6,124.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:15.7(need >20.0) | ROCE%:19.2(need >20.0) | Prom%:35.54(need >40.0)
ICICIPRULI,ICICI Prudential Life Insuranc,,False,8,FAIL,523.0,75844.0,47.2,1.85,12.6,10.1,,0.19,72.8,,7.9,25.5,2216.0,,,,,,,,,N/A,N/A,❌ AVOID,ROE%:12.6(need >20.0) | ROCE%:10.1(need >20.0) | SalesG3Y%:7.9(need >12.0)
