symbol,events_found,events_with_intraday,events_with_data,dangerous_events,filter_accuracy_pct,avg_event_swing_pct,avg_normal_swing_pct,swing_ratio,note
PIDILITIND,5,1,5,1,20.0,1.211,0.242,5.0,
TRENT,5,1,4,1,25.0,1.735,0.364,4.77,
DMART,4,0,1,0,0.0,,,,
JUBLFOOD,6,1,6,5,83.3,1.105,0.291,3.8,
INDIGO,8,1,7,4,57.1,1.906,0.273,6.98,
ULTRACEMCO,4,1,2,1,50.0,2.818,0.351,8.03,
GRASIM,6,2,5,1,20.0,1.908,0.261,7.31,
AMBUJACEM,4,1,4,1,25.0,4.728,0.586,8.07,
ADANIENT,7,1,7,0,0.0,1.251,0.365,3.43,
ADANIPORTS,6,1,5,1,20.0,3.084,0.444,6.95,
DLF,5,1,5,2,40.0,1.014,0.305,3.32,
GODREJPROP,4,1,4,1,25.0,4.495,0.514,8.75,
LODHA,8,1,7,2,28.6,1.081,0.341,3.17,
MCX,0,0,0,0,,,,,no_announcements
BSE,7,2,7,4,57.1,0.95,0.314,3.03,
ETERNAL,4,1,4,4,100.0,6.054,0.396,15.29,
HAL,6,1,6,1,16.7,4.832,0.506,9.55,
BEL,5,1,5,2,40.0,1.934,0.302,6.4,
COALINDIA,5,1,5,2,40.0,0.873,0.233,3.75,
MAZDOCK,5,1,5,3,60.0,1.425,0.319,4.47,
