date,entry_time,exit_time,symbol,direction,strike,entry_price,exit_price,pnl_pts,pnl_rs,gross_pnl_rs,net_pnl_rs,peak_pnl,exit_reason,dte,candles_held,session,sl_pts,vix_at_entry,entry_mode,bias,hourly_rsi,brokerage,stt,exchange_charges,gst,stamp_duty,total_charges,num_exit_orders,qty_exited,entry_slippage,exit_slippage,lot_id,entry_ema9_high,entry_ema9_low,exit_ema9_high,exit_ema9_low,entry_band_position,exit_band_position,entry_body_pct,xleg_signal,xleg_other_close,xleg_other_ema9l,xleg_other_dying,xleg_other_margin,spike_close,spike_target,spike_fill,spike_wait_used
2026-05-08,09:35:35,09:46:40,NIFTY2651224200PE,PE,24200,142.25,178.25,36.0,4680.0,4680.0,4591.68,48.85,VISHAL_TRAIL,0,12,,0,17.4,CLOSE_FILL,SIDEWAYS,60.7,40.0,14.48,22.08,11.17,0.55,88.32,1,130,0,0,ALL,126.85,98.79,126.85,98.79,ABOVE,ABOVE,37.0,PASS,179.95,197.44,True,-17.49,0.0,0.0,0.0,0.0
2026-05-08,09:52:35,09:57:26,NIFTY2651224150PE,PE,24150,150.7,138.6,-12.1,-1573.0,-1573.0,-1655.61,0.0,EMERGENCY_SL,0,6,,0,17.3,CLOSE_FILL,SIDEWAYS,60.7,40.0,11.26,19.93,10.79,0.59,82.61,1,130,0,0,ALL,116.3,90.78,116.3,90.78,ABOVE,ABOVE,98.1,PASS,183.95,193.34,True,-9.39,0.0,0.0,0.0,0.0
2026-05-08,10:30:35,10:51:18,NIFTY2651224250CE,CE,24250,165.55,153.45,-12.1,-1573.0,-1573.0,-1659.3,4.75,EMERGENCY_SL,0,22,,0,17.1,CLOSE_FILL,SIDEWAYS,49.7,40.0,12.47,21.98,11.16,0.65,86.3,1,130,0,0,ALL,197.87,162.83,197.87,162.83,IN,BELOW,22.4,PASS,162.85,167.67,True,-4.82,0.0,0.0,0.0,0.0
2026-05-08,09:57:36,10:54:35,NIFTY2651224200CE,CE,24200,168.3,180.3,12.0,1560.0,1560.0,1469.1,29.2,VISHAL_TRAIL,,0,,0,0,V8_LOCK_12,,0,0,,,,,,,130,0,0,ALL,,,,,,,,,,,,,,,,
2026-05-08,10:56:35,11:04:01,NIFTY2651224200PE,PE,24200,139.5,139.5,0.0,0.0,0.0,-81.79,15.4,VISHAL_TRAIL,0,9,,0,17.1,CLOSE_FILL,SIDEWAYS,47.1,40.0,11.33,19.22,10.66,0.54,81.79,1,130,0,0,ALL,152.91,126.51,152.91,126.51,IN,IN,0.7,FAIL,182.55,181.48,False,1.07,0.0,0.0,0.0,0.0
2026-05-08,11:09:35,11:09:36,NIFTY2651224250PE,PE,24250,178.65,163.3,-15.35,-1995.5,-1995.5,-2084.51,0.0,EMERGENCY_SL,0,1,,0,17.0,CLOSE_FILL,SIDEWAYS,47.1,40.0,13.27,23.56,11.44,0.7,89.01,1,130,0,0,ALL,177.84,149.93,177.84,149.93,ABOVE,IN,68.0,FAIL,159.85,151.77,False,8.08,0.0,0.0,0.0,0.0
2026-05-08,11:15:35,11:17:42,NIFTY2651224250CE,CE,24250,164.65,152.3,-12.35,-1605.5,-1605.5,-1691.52,3.6,EMERGENCY_SL,0,3,,0,17.0,CLOSE_FILL,SIDEWAYS,47.1,40.0,12.37,21.84,11.13,0.64,86.02,1,130,0,0,ALL,183.43,155.74,183.43,155.74,IN,BELOW,90.0,PASS,157.05,162.08,True,-5.03,0.0,0.0,0.0,0.0
2026-05-08,11:06:35,11:23:35,NIFTY2651224250CE,CE,24250,159.15,147.15,-12.0,-1560.0,-1560.0,-1644.72,8.2,EMERGENCY_SL,,0,,0,0,V8_INITIAL,,0,0,,,,,,,130,0,0,ALL,,,,,,,,,,,,,,,,
2026-05-08,11:30:36,11:44:14,NIFTY2651224200PE,PE,24200,154.65,142.5,-12.15,-1579.5,-1579.5,-1663.07,8.7,EMERGENCY_SL,0,15,,0,17.0,CLOSE_FILL,SIDEWAYS,47.1,40.0,11.58,20.47,10.88,0.6,83.57,1,130,0,0,ALL,154.07,129.11,154.07,129.11,ABOVE,IN,77.2,PASS,165.7,170.57,True,-4.87,0.0,0.0,0.0,0.0
2026-05-08,12:00:35,12:02:11,NIFTY2651224200CE,CE,24200,172.2,160.05,-12.15,-1579.5,-1579.5,-1667.42,1.75,EMERGENCY_SL,0,3,,0,17.1,CLOSE_FILL,SIDEWAYS,49.4,40.0,13.0,22.89,11.32,0.67,87.92,1,130,0,0,ALL,195.88,171.03,195.88,171.03,IN,BELOW,55.8,FAIL,145.9,144.17,False,1.73,0.0,0.0,0.0,0.0
2026-05-08,12:15:35,13:26:39,NIFTY2651224200PE,PE,24200,157.2,157.2,0.0,0.0,0.0,-86.18,23.35,VISHAL_TRAIL,0,72,,0,17.1,CLOSE_FILL,SIDEWAYS,46.3,40.0,12.77,21.66,11.1,0.61,86.18,1,130,0,0,ALL,157.96,135.91,157.96,135.91,IN,IN,53.4,PASS,160.75,160.76,True,-0.01,0.0,0.0,0.0,0.0
2026-05-08,13:32:36,13:32:45,NIFTY2651224200CE,CE,24200,169.85,157.75,-12.1,-1573.0,-1573.0,-1660.35,0.0,EMERGENCY_SL,0,1,,0,17.0,CLOSE_FILL,SIDEWAYS,46.3,40.0,12.82,22.57,11.26,0.66,87.35,1,130,0,0,ALL,171.67,152.34,171.67,152.34,IN,IN,83.7,PASS,141.55,157.06,True,-15.51,0.0,0.0,0.0,0.0
2026-05-08,13:45:35,13:54:08,NIFTY2651224200PE,PE,24200,158.8,158.8,0.0,0.0,0.0,-86.58,12.6,VISHAL_TRAIL,0,10,,0,17.1,CLOSE_FILL,SIDEWAYS,46.3,40.0,12.9,21.88,11.14,0.62,86.58,1,130,0,0,ALL,167.73,145.08,167.73,145.08,IN,IN,64.4,FAIL,150.5,149.15,False,1.35,0.0,0.0,0.0,0.0
2026-05-08,14:00:35,14:05:31,NIFTY2651224200PE,PE,24200,181.0,168.0,-13.0,-1690.0,-1690.0,-1779.99,10.2,EMERGENCY_SL,0,6,,0,17.2,CLOSE_FILL,SIDEWAYS,45.2,40.0,13.65,24.05,11.53,0.71,89.99,1,130,0,0,ALL,171.29,147.05,171.29,147.05,ABOVE,IN,74.8,PASS,158.3,167.59,True,-9.29,0.0,0.0,0.0,0.0
2026-05-08,13:39:35,14:08:35,NIFTY2651224200PE,PE,24150,163.0,163.0,0.0,0.0,0.0,-87.62,14.9,VISHAL_TRAIL,,0,,0,0,V8_LOCK_BE,,0,0,,,,,,,130,0,0,ALL,,,,,,,,,,,,,,,,
2026-05-08,14:30:36,14:41:26,NIFTY2651224150CE,CE,24150,170.8,206.8,36.0,4680.0,4680.0,4584.58,48.0,VISHAL_TRAIL,0,12,,0,16.9,CLOSE_FILL,SIDEWAYS,45.2,40.0,16.8,26.02,11.88,0.67,95.42,1,130,0,0,ALL,187.57,166.04,187.57,166.04,IN,ABOVE,67.2,PASS,137.25,138.12,True,-0.87,0.0,0.0,0.0,0.0
2026-05-08,14:46:35,14:47:53,NIFTY2651224250CE,CE,24250,156.05,155.35,-0.7,-91.0,-91.0,-176.79,2.75,FORCE_EXIT,0,2,,0,16.9,CLOSE_FILL,SIDEWAYS,45.2,40.0,12.62,21.46,11.06,0.61,85.79,1,130,0,0,ALL,141.74,120.45,141.74,120.45,ABOVE,ABOVE,84.7,PASS,148.8,163.9,True,-15.1,0.0,0.0,0.0,0.0
