timestamp,strike,type,open,high,low,close,volume,spot_ref,atm_distance,dte,session_block,body_pct,adx,rsi,ema9,ema21,ema_spread,ema9_gap,volume_ratio,ema9_high,ema9_low,fwd_3c,fwd_6c,fwd_9c,fwd_outcome
2026-05-05 15:27:00,24250,CE,135.35,137.15,134.85,137.1,72800,24240.3,10.0,6,OPEN,76.1,16.9,59.5,132.42,130.82,1.59,4.68,1.37,133.52,129.59,,,,
2026-05-05 15:27:00,24250,PE,291.45,292.25,286.8,289.65,10985,24240.3,10.0,6,OPEN,33.0,17.3,33.6,299.86,308.55,-8.69,10.21,1.26,304.21,297.19,,,,
2026-05-06 09:15:00,24200,CE,215.85,238.3,196.5,211,4838990,24183.6,16.0,6,OPEN,11.6,21.3,84.0,164.32,156.3,8.02,46.68,18.89,170.75,159.03,136.95,129.7,121.65,LOSS
2026-05-06 09:15:00,24200,PE,158,175.65,140.25,166.7,4333940,24183.6,16.0,6,OPEN,24.6,24.2,13.4,250.03,269.11,-19.08,83.33,74.04,255.3,241.95,251.3,272.7,291,WIN
2026-05-06 09:18:00,24200,CE,211,215.8,203.05,209.35,3893240,24181.05,19.0,6,OPEN,12.9,25.1,82.3,173.32,161.12,12.2,36.03,3.36,179.76,167.84,131.05,130.55,124.05,LOSS
2026-05-06 09:18:00,24200,PE,166.7,177.35,164.1,174.9,3913585,24181.05,19.0,6,OPEN,61.9,28.1,18.0,235.01,260.55,-25.54,60.11,4.29,239.71,226.38,268.5,274.05,290.25,WIN
2026-05-06 09:21:00,24200,CE,209.35,216.55,200,215.65,4040465,24186.65,13.0,6,OPEN,38.1,28.4,83.6,181.79,166.08,15.71,33.86,2.14,187.12,174.27,131.9,125.1,122.85,LOSS
2026-05-06 09:21:00,24200,PE,174.9,189.6,161.3,162.3,4116385,24186.65,13.0,6,OPEN,44.5,30.7,16.5,220.46,251.61,-31.15,58.16,2.44,229.69,213.36,269.4,292.05,292.9,WIN
2026-05-06 09:24:00,24200,CE,215.65,215.65,204.05,206.85,2750215,24181.65,18.0,6,OPEN,75.9,31.4,75.2,186.8,169.78,17.02,20.05,1.04,192.82,180.22,129.7,121.65,123.4,LOSS
2026-05-06 09:24:00,24200,PE,162.3,180.95,162.3,179.75,2381925,24181.65,18.0,6,OPEN,93.6,33.1,25.5,212.32,245.08,-32.76,32.57,0.95,219.94,203.15,272.7,291,290.75,WIN
2026-05-06 09:27:00,24200,CE,206.85,209.8,201.4,205.35,1718470,24183.35,17.0,6,OPEN,17.9,33.8,73.8,190.51,173.02,17.49,14.84,0.54,196.22,184.46,130.55,124.05,131.6,LOSS
