timestamp,strike,type,open,high,low,close,volume,spot_ref,atm_distance,dte,session_block,body_pct,adx,rsi,ema9,ema21,ema_spread,ema9_gap,volume_ratio,ema9_high,ema9_low,fwd_3c,fwd_6c,fwd_9c,fwd_outcome
2026-05-08 15:27:00,23950,CE,313.25,317.65,305.5,309.5,26910,23931.15,19.0,1,OPEN,30.9,16.1,42.6,320.67,322.78,-2.11,11.17,1.16,328.45,314.69,,,,
2026-05-08 15:27:00,23950,PE,48.3,48.3,44.85,46.75,1281995,23931.15,19.0,1,OPEN,44.9,27.0,36.8,48.71,51.67,-2.96,1.96,1.4,50.71,46.69,,,,
2026-05-11 09:15:00,23900,CE,177.95,230.05,143.6,145.7,4210895,23909.85,10.0,1,OPEN,37.3,20.3,12.8,317.71,342.94,-25.23,172.01,108.33,341.28,312.73,203.45,204.5,176.95,WIN
2026-05-11 09:15:00,23900,PE,84.05,115.95,76.1,108.7,13066495,23909.85,10.0,1,OPEN,61.9,30.3,86.0,52.99,47.8,5.19,55.71,11.39,55.74,45.12,69.05,67.4,85,LOSS
2026-05-11 09:18:00,23900,CE,145.7,149.1,135.1,137.35,4439760,23906.7,7.0,1,OPEN,59.6,24.1,12.4,281.64,324.25,-42.61,144.29,5.1,302.84,277.2,214.75,190.25,183.35,WIN
2026-05-11 09:18:00,23900,PE,108.7,121.8,106.95,120.7,11254945,23906.7,7.0,1,OPEN,80.8,33.3,87.8,66.53,54.43,12.1,54.17,3.23,68.95,57.49,64.65,75.45,79.95,LOSS
2026-05-11 09:21:00,23950,CE,113,118.75,111,118.75,2661295,23938.25,12.0,1,OPEN,74.2,27.1,14.7,221.38,271.66,-50.28,102.63,1.16,235.37,216.25,219.45,183.35,180.6,WIN
2026-05-11 09:21:00,23950,PE,146,149.9,136.4,136.4,3434990,23938.25,12.0,1,OPEN,71.1,36.1,80.4,92.64,73.3,19.34,43.76,0.94,97.56,83.88,61.55,81.3,81.3,LOSS
2026-05-11 09:24:00,23950,CE,118.75,125.8,115.2,117.15,5121025,23939.2,11.0,1,OPEN,15.1,29.9,14.6,200.54,257.62,-57.08,83.39,1.81,213.45,196.04,204.5,176.95,177.55,WIN
2026-05-11 09:24:00,23950,PE,136.4,137,124.8,135.75,5640830,23939.2,11.0,1,OPEN,5.3,37.5,80.0,101.26,78.98,22.28,34.49,1.36,105.45,92.06,67.4,85,82.85,LOSS
2026-05-11 09:27:00,23950,CE,117.15,129.55,116.45,127.5,3949465,23949.05,1.0,1,OPEN,79.0,32.3,18.6,185.93,245.79,-59.86,58.43,1.03,196.67,180.12,190.25,183.35,173.05,WIN
2026-05-11 09:27:00,23950,PE,135.75,137.3,118.55,120.6,3951285,23949.05,1.0,1,OPEN,80.8,38.2,69.6,105.13,82.76,22.37,15.47,0.77,111.82,97.36,75.45,79.95,84.55,LOSS
2026-05-11 09:30:00,23950,CE,127.5,130.55,123.25,123.35,3402750,23928.85,21.0,1,OPEN,56.8,34.5,18.2,173.41,234.66,-61.24,50.06,0.73,183.45,168.75,183.35,180.6,179.15,WIN
2026-05-11 09:30:00,23950,PE,120.6,125.95,118.15,125.95,3203135,23928.85,21.0,1,OPEN,68.6,38.8,71.0,109.29,86.69,22.61,16.66,0.57,114.65,101.52,81.3,81.3,80.75,LOSS
