date,entry_time,exit_time,symbol,direction,strike,entry_price,exit_price,pnl_pts,pnl_rs,gross_pnl_rs,net_pnl_rs,peak_pnl,exit_reason,dte,candles_held,session,sl_pts,vix_at_entry,entry_mode,bias,hourly_rsi,brokerage,stt,exchange_charges,gst,stamp_duty,total_charges,num_exit_orders,qty_exited,entry_slippage,exit_slippage,lot_id,entry_ema9_high,entry_ema9_low,exit_ema9_high,exit_ema9_low,entry_band_position,exit_band_position,entry_body_pct,xleg_signal,xleg_other_close,xleg_other_ema9l,xleg_other_dying,xleg_other_margin,spike_close,spike_target,spike_fill,spike_wait_used
2026-05-11,09:35:35,09:41:07,NIFTY2651223950PE,PE,23950,120.6,144.6,24.0,3120.0,3120.0,3038.99,39.0,VISHAL_TRAIL,0,7,,0,18.8,CLOSE_FILL,SIDEWAYS,52.9,40.0,11.75,18.27,10.49,0.47,81.01,1,130,0,0,ALL,80.12,59.61,80.12,59.61,ABOVE,ABOVE,50.0,PASS,123.35,168.75,True,-45.4,0.0,0.0,0.0,0.0
2026-05-11,09:46:35,09:48:08,NIFTY2651223900PE,PE,23900,130.9,118.9,-12.0,-1560.0,-1560.0,-1637.71,0.0,EMERGENCY_SL,0,3,,0,18.9,CLOSE_FILL,SIDEWAYS,52.9,40.0,9.66,17.21,10.3,0.51,77.71,1,130,0,0,ALL,79.15,58.24,79.15,58.24,ABOVE,ABOVE,87.5,PASS,119.85,154.94,True,-35.09,0.0,0.0,0.0,0.0
2026-05-11,10:06:35,10:18:36,NIFTY2651223900CE,CE,23900,127.0,115.0,-12.0,-1560.0,-1560.0,-1636.74,0.4,EMERGENCY_SL,,0,,0,0,V8_INITIAL,,0,0,,,,,,,130,0,0,ALL
2026-05-11,10:30:35,10:39:46,NIFTY2651223850PE,PE,23850,100.1,106.1,6.0,780.0,780.0,706.99,10.45,FORCE_EXIT,0,10,,0,18.6,CLOSE_FILL,SIDEWAYS,33.9,40.0,8.62,14.21,9.76,0.39,73.01,1,130,0,0,ALL,87.12,69.41,87.12,69.41,ABOVE,ABOVE,12.8,FAIL,139.95,138.74,False,1.21,0.0,0.0,0.0,0.0
2026-05-11,10:45:35,10:54:24,NIFTY2651223850PE,PE,23850,105.1,93.0,-12.1,-1573.0,-1573.0,-1644.31,5.2,EMERGENCY_SL,0,10,,0,18.5,CLOSE_FILL,SIDEWAYS,33.9,40.0,7.56,13.65,9.66,0.41,71.31,1,130,0,0,ALL,91.81,74.76,91.81,74.76,ABOVE,ABOVE,34.8,PASS,134.1,134.2,True,-0.1,0.0,0.0,0.0,0.0
2026-05-11,10:27:35,11:28:35,NIFTY2651223850CE,CE,23900,142.5,162.5,20.0,2600.0,2600.0,2514.21,34.1,VISHAL_TRAIL,,0,,0,0,V8_LOCK_20,,0,0,,,,,,,130,0,0,ALL
2026-05-11,11:30:35,11:47:35,NIFTY2651223900CE,CE,23900,172.45,172.45,0.0,0.0,0.0,-89.96,12.95,VISHAL_TRAIL,,0,,0,0,V8_LOCK_BE,,0,0,,,,,,,130,0,0,ALL
2026-05-11,11:48:35,12:24:35,NIFTY2651223950PE,PE,23950,115.3,103.3,-12.0,-1560.0,-1560.0,-1633.84,1.0,EMERGENCY_SL,,0,,0,0,V8_INITIAL,,0,0,,,,,,,130,0,0,ALL
2026-05-11,12:30:35,12:41:01,NIFTY2651223950PE,PE,23950,112.05,112.05,0.0,0.0,0.0,-74.99,14.75,VISHAL_TRAIL,0,12,,0,18.4,CLOSE_FILL,SIDEWAYS,37.8,40.0,9.1,15.44,9.98,0.44,74.99,1,130,0,0,ALL,126.92,107.3,126.92,107.3,IN,IN,42.4,PASS,108.7,108.82,True,-0.12,0.0,0.0,0.0,0.0
2026-05-11,12:46:35,12:54:12,NIFTY2651223950CE,CE,23950,120.0,107.4,-12.6,-1638.0,-1638.0,-1712.92,0.25,EMERGENCY_SL,0,9,,0,18.2,CLOSE_FILL,SIDEWAYS,37.8,40.0,8.73,15.67,10.02,0.47,74.92,1,130,0,0,ALL,129.39,107.33,129.39,107.33,IN,IN,32.8,PASS,94.8,102.67,True,-7.87,0.0,0.0,0.0,0.0
