date,entry_time,exit_time,symbol,direction,strike,entry_price,exit_price,pnl_pts,pnl_rs,gross_pnl_rs,net_pnl_rs,peak_pnl,exit_reason,dte,candles_held,session,sl_pts,vix_at_entry,entry_mode,bias,hourly_rsi,brokerage,stt,exchange_charges,gst,stamp_duty,total_charges,num_exit_orders,qty_exited,entry_slippage,exit_slippage,lot_id,entry_ema9_high,entry_ema9_low,exit_ema9_high,exit_ema9_low,entry_band_position,exit_band_position,entry_body_pct,xleg_signal,xleg_other_close,xleg_other_ema9l,xleg_other_dying,xleg_other_margin,spike_close,spike_target,spike_fill,spike_wait_used
2026-05-07,09:45:35,09:46:56,NIFTY2651224400CE,CE,24400,189.6,177.25,-12.35,-1605.5,-1605.5,-1697.72,0.0,EMERGENCY_SL,0,2,,0,16.6,CLOSE_FILL,SIDEWAYS,65.0,40.0,14.4,25.28,11.75,0.74,92.22,1,130,0,0,ALL,186.02,148.25,186.02,148.25,ABOVE,IN,75.2,PASS,170.4,181.53,True,-11.13,0.0,0.0,0.0,0.0
2026-05-07,09:46:57,09:46:58,NIFTY2651224400CE,CE,24400,189.6,176.45,-13.15,-1709.5,-1709.5,-1801.59,0.0,EMERGENCY_SL,0,0,,0,16.6,CLOSE_FILL,SIDEWAYS,65.0,40.0,14.34,25.22,11.74,0.74,92.09,1,130,0,0,ALL,186.02,148.25,186.02,148.25,ABOVE,IN,75.2,PASS,170.4,181.53,True,-11.13,0.0,0.0,0.0,0.0
2026-05-07,09:47:35,09:47:36,NIFTY2651224400CE,CE,24400,189.6,176.95,-12.65,-1644.5,-1644.5,-1736.68,0.0,EMERGENCY_SL,0,1,,0,16.6,CLOSE_FILL,SIDEWAYS,65.0,40.0,14.38,25.26,11.75,0.74,92.18,1,130,0,0,ALL,186.02,148.25,186.02,148.25,ABOVE,IN,75.2,PASS,170.4,181.53,True,-11.13,0.0,0.0,0.0,0.0
2026-05-07,09:48:36,09:48:37,NIFTY2651224350CE,CE,24350,216.8,199.9,-16.9,-2197.0,-2197.0,-2295.22,0.0,EMERGENCY_SL,0,1,,0,16.6,CLOSE_FILL,SIDEWAYS,65.0,40.0,16.24,28.71,12.37,0.85,98.22,1,130,0,0,ALL,212.51,170.81,212.51,170.81,ABOVE,IN,74.0,FAIL,155.85,155.53,False,0.32,0.0,0.0,0.0,0.0
2026-05-07,09:49:35,09:49:36,NIFTY2651224350CE,CE,24350,216.8,201.05,-15.75,-2047.5,-2047.5,-2145.91,0.0,EMERGENCY_SL,0,1,,0,16.6,CLOSE_FILL,SIDEWAYS,65.0,40.0,16.34,28.79,12.38,0.85,98.41,1,130,0,0,ALL,212.51,170.81,212.51,170.81,ABOVE,IN,74.0,FAIL,155.85,155.53,False,0.32,0.0,0.0,0.0,0.0
2026-05-07,09:50:35,09:50:36,NIFTY2651224350CE,CE,24350,216.8,187.95,-28.85,-3750.5,-3750.5,-3846.78,0.0,EMERGENCY_SL,0,1,,0,16.7,CLOSE_FILL,SIDEWAYS,65.0,40.0,15.27,27.89,12.22,0.85,96.28,1,130,0,0,ALL,212.51,170.81,212.51,170.81,ABOVE,IN,74.0,FAIL,155.85,155.53,False,0.32,0.0,0.0,0.0,0.0
2026-05-07,09:51:35,09:51:36,NIFTY2651224350CE,CE,24350,216.8,192.6,-24.2,-3146.0,-3146.0,-3243.04,0.0,EMERGENCY_SL,0,1,,0,16.7,CLOSE_FILL,SIDEWAYS,65.0,40.0,15.65,28.21,12.28,0.85,97.04,1,130,0,0,ALL,212.51,170.81,212.51,170.81,ABOVE,IN,74.0,FAIL,167.15,155.21,False,11.94,0.0,0.0,0.0,0.0
2026-05-07,09:52:35,09:52:36,NIFTY2651224350CE,CE,24350,216.8,190.25,-26.55,-3451.5,-3451.5,-3548.16,0.0,EMERGENCY_SL,0,1,,0,16.7,CLOSE_FILL,SIDEWAYS,65.0,40.0,15.46,28.05,12.25,0.85,96.66,1,130,0,0,ALL,212.51,170.81,212.51,170.81,ABOVE,IN,74.0,FAIL,167.15,155.21,False,11.94,0.0,0.0,0.0,0.0
2026-05-07,09:53:35,09:53:36,NIFTY2651224350CE,CE,24350,216.8,182.7,-34.1,-4433.0,-4433.0,-4528.43,0.0,EMERGENCY_SL,0,1,,0,16.7,CLOSE_FILL,SIDEWAYS,65.0,40.0,14.84,27.53,12.16,0.85,95.43,1,130,0,0,ALL,212.51,170.81,212.51,170.81,ABOVE,IN,74.0,FAIL,167.15,155.21,False,11.94,0.0,0.0,0.0,0.0
2026-05-07,09:54:36,09:54:37,NIFTY2651224350CE,CE,24350,216.8,180.9,-35.9,-4667.0,-4667.0,-4762.13,0.0,EMERGENCY_SL,0,1,,0,16.8,CLOSE_FILL,SIDEWAYS,65.0,40.0,14.7,27.4,12.13,0.85,95.13,1,130,0,0,ALL,212.51,170.81,212.51,170.81,ABOVE,IN,74.0,FAIL,182.6,156.72,False,25.88,0.0,0.0,0.0,0.0
2026-05-07,09:55:35,09:55:36,NIFTY2651224350CE,CE,24350,216.8,188.7,-28.1,-3653.0,-3653.0,-3749.4,0.0,EMERGENCY_SL,0,1,,0,16.8,CLOSE_FILL,SIDEWAYS,65.0,40.0,15.33,27.94,12.23,0.85,96.4,1,130,0,0,ALL,212.51,170.81,212.51,170.81,ABOVE,IN,74.0,FAIL,182.6,156.72,False,25.88,0.0,0.0,0.0,0.0
2026-05-07,09:56:35,09:56:36,NIFTY2651224350CE,CE,24350,216.8,185.7,-31.1,-4043.0,-4043.0,-4138.91,0.0,EMERGENCY_SL,0,1,,0,16.8,CLOSE_FILL,SIDEWAYS,65.0,40.0,15.09,27.73,12.19,0.85,95.91,1,130,0,0,ALL,212.51,170.81,212.51,170.81,ABOVE,IN,74.0,FAIL,182.6,156.72,False,25.88,0.0,0.0,0.0,0.0
2026-05-07,09:57:35,09:57:36,NIFTY2651224350CE,CE,24350,216.8,183.65,-33.15,-4309.5,-4309.5,-4405.08,0.0,EMERGENCY_SL,0,1,,0,16.9,CLOSE_FILL,SIDEWAYS,65.0,40.0,14.92,27.59,12.17,0.85,95.58,1,130,0,0,ALL,212.51,170.81,212.51,170.81,ABOVE,IN,74.0,FAIL,178.3,159.47,False,18.83,0.0,0.0,0.0,0.0
2026-05-07,09:58:35,09:58:36,NIFTY2651224350CE,CE,24350,216.8,187.4,-29.4,-3822.0,-3822.0,-3918.19,0.0,EMERGENCY_SL,0,1,,0,16.8,CLOSE_FILL,SIDEWAYS,65.0,40.0,15.23,27.85,12.21,0.85,96.19,1,130,0,0,ALL,212.51,170.81,212.51,170.81,ABOVE,IN,74.0,FAIL,178.3,159.47,False,18.83,0.0,0.0,0.0,0.0
2026-05-07,12:03:43,12:19:58,NIFTY2651224350CE,CE,24350,180.85,192.85,12.0,1560.0,1560.0,1465.99,24.1,VISHAL_TRAIL,0,17,,0,16.6,CLOSE_FILL,SIDEWAYS,66.2,40.0,15.67,25.75,11.83,0.71,94.01,1,130,0,0,ALL,193.04,165.98,193.04,165.98,IN,IN,82.0,PASS,166.5,180.03,True,-13.53,0.0,0.0,0.0,0.0
2026-05-07,12:25:35,12:29:26,NIFTY2651224350CE,CE,24350,195.35,195.55,0.2,26.0,26.0,-69.68,6.6,FORCE_EXIT,0,5,,0,16.8,CLOSE_FILL,SIDEWAYS,66.2,40.0,15.89,26.93,12.05,0.76,95.68,1,130,0,0,ALL,193.63,168.4,193.63,168.4,ABOVE,ABOVE,77.4,PASS,154.5,161.64,True,-7.14,0.0,0.0,0.0,0.0
