timestamp,strike,type,open,high,low,close,volume,spot_ref,atm_distance,dte,session_block,body_pct,adx,rsi,ema9,ema21,ema_spread,ema9_gap,volume_ratio,ema9_high,ema9_low,fwd_3c,fwd_6c,fwd_9c,fwd_outcome
2026-05-04 09:15:00,24200,CE,124,189.6,115.6,143.85,12504700,24186.7,13.0,1,OPEN,26.8,0.0,50,143.85,143.85,0.0,0.0,12504700.0,189.6,115.6,216.05,228.15,258.8,WIN
2026-05-04 09:15:00,24200,PE,173.9,174,91.5,123.9,8250385,24186.7,13.0,1,OPEN,60.6,0.0,50,123.9,123.9,0.0,0.0,8250385.0,174.0,91.5,75,60.85,44,LOSS
2026-05-04 09:18:00,24200,CE,143.85,161,143.85,155.5,9654450,24193.25,7.0,1,OPEN,67.9,0.0,50.0,146.18,144.91,1.27,9.32,0.77,183.88,121.25,218.4,245,254.25,WIN
2026-05-04 09:18:00,24200,PE,123.9,123.9,97.4,101.4,6476925,24193.25,7.0,1,OPEN,84.9,0.0,0.0,119.4,121.85,-2.45,18.0,0.79,163.98,92.68,69.35,50.4,45.5,LOSS
2026-05-04 09:21:00,24150,CE,186.4,190.65,175.7,178.5,1970475,24170.55,21.0,1,OPEN,52.8,0.0,95.5,176.63,175.1,1.52,1.87,0.47,212.05,154.37,220.35,252.7,256.1,WIN
2026-05-04 09:21:00,24150,PE,82.7,95.35,80.6,94.45,3428620,24170.55,21.0,1,OPEN,79.7,0.0,4.2,98.31,100.88,-2.57,3.86,0.68,150.81,76.42,67.55,47.7,44.85,LOSS
2026-05-04 09:24:00,24200,CE,147.7,155,139.3,154.2,7067320,24200.8,1.0,1,OPEN,41.4,7.1,95.7,148.14,146.04,2.1,6.06,0.76,173.97,128.84,228.15,258.8,249.2,WIN
2026-05-04 09:24:00,24200,PE,114.65,124.85,108.7,109.35,5474300,24200.8,1.0,1,OPEN,32.8,7.1,4.1,116.55,120.08,-3.53,7.2,0.83,148.44,96.82,60.85,44,47.9,LOSS
2026-05-04 09:27:00,24200,CE,153.7,162.85,150.7,158.45,8071375,24224.6,25.0,1,OPEN,39.1,7.4,95.8,150.2,147.17,3.03,8.25,0.92,171.75,133.21,245,254.25,234,WIN
2026-05-04 09:27:00,24200,PE,109.85,112.95,96.9,98.8,5170490,24224.6,25.0,1,OPEN,68.8,7.8,4.0,113.0,118.15,-5.15,14.2,0.82,141.34,96.84,50.4,45.5,55.4,LOSS
2026-05-04 09:30:00,24200,CE,158.2,163.2,141.7,141.7,7400380,24193.05,7.0,1,OPEN,76.7,9.3,85.3,148.5,146.67,1.83,6.8,0.86,170.04,134.91,252.7,256.1,233.15,WIN
2026-05-04 09:30:00,24200,PE,98.95,117.9,92.55,117.9,7604740,24193.05,7.0,1,OPEN,74.8,7.8,10.6,113.98,118.12,-4.14,3.92,1.25,136.65,95.98,47.7,44.85,54.85,LOSS
2026-05-04 09:33:00,24250,CE,112.45,139.7,107.8,137.95,7144800,24252.35,2.0,1,OPEN,79.9,9.6,85.7,124.02,121.02,3.0,13.93,1.97,140.44,109.72,258.8,249.2,240.1,WIN
2026-05-04 09:33:00,24250,PE,141.05,148.25,102.8,105.85,3326115,24252.35,2.0,1,OPEN,77.4,9.3,9.4,130.67,138.17,-7.5,24.82,1.96,153.72,113.54,44,47.9,51.25,LOSS
2026-05-04 09:36:00,24250,CE,137.95,144.7,127.45,142.75,6849505,24265.6,16.0,1,OPEN,27.8,10.2,86.2,127.76,122.99,4.77,14.99,1.62,141.29,113.27,254.25,234,219.7,WIN
2026-05-04 09:36:00,24250,PE,105,115.1,94.05,94.4,3600350,24265.6,16.0,1,OPEN,50.4,11.7,9.0,123.42,134.19,-10.77,29.02,1.77,146.0,109.65,45.5,55.4,60.35,LOSS
2026-05-04 09:39:00,24300,CE,115.2,125.9,112.8,122.85,9035000,24281.85,18.0,1,OPEN,58.4,12.4,86.8,106.75,101.11,5.64,16.1,1.37,117.03,94.7,256.1,233.15,215.3,WIN
2026-05-04 09:39:00,24300,PE,117,119.05,108.7,111.15,3188705,24281.85,18.0,1,OPEN,56.5,13.1,9.0,141.38,156.4,-15.02,30.23,1.45,166.53,128.68,44.85,54.85,61.95,LOSS
2026-05-04 09:42:00,24250,CE,151.75,157.95,147.2,154.3,3836430,24274.05,24.0,1,OPEN,23.7,14.6,87.4,136.92,128.22,8.7,17.38,0.68,146.81,124.41,249.2,240.1,221.95,WIN
2026-05-04 09:42:00,24250,PE,89.25,90.65,84,86.3,2870530,24274.05,24.0,1,OPEN,44.4,17.4,8.8,110.58,126.15,-15.57,24.28,1.0,127.01,101.06,47.9,51.25,57.7,LOSS
2026-05-04 09:45:00,24300,CE,125.25,129.55,119.2,125.6,6009965,24276.3,24.0,1,OPEN,3.4,17.0,87.1,113.53,105.36,8.18,12.07,0.78,121.47,103.54,234,219.7,189.3,WIN
2026-05-04 09:45:00,24300,PE,107.25,112.85,104,106.2,3404700,24276.3,24.0,1,OPEN,11.9,18.1,8.8,128.88,147.77,-18.89,22.68,1.24,147.12,119.98,55.4,60.35,78.25,LOSS
2026-05-04 09:48:00,24250,CE,155.35,155.65,143.6,145.45,2289950,24258.95,9.0,1,OPEN,82.2,18.1,80.4,141.56,132.02,9.54,3.89,0.43,150.66,131.92,233.15,215.3,183,WIN
2026-05-04 09:48:00,24250,PE,85.9,94.3,85,93.9,2776150,24258.95,9.0,1,OPEN,86.0,21.7,11.9,103.21,119.85,-16.64,9.31,0.9,114.7,95.05,54.85,61.95,81.8,LOSS
2026-05-04 09:51:00,24250,CE,145.5,149.15,125.4,126.55,3769545,24229.6,20.0,1,OPEN,79.8,17.7,68.8,138.56,131.52,7.03,12.01,0.86,150.36,130.62,240.1,221.95,181.3,WIN
2026-05-04 09:51:00,24250,PE,93.8,111.65,91.95,111,5550480,24229.6,20.0,1,OPEN,87.3,20.3,18.1,104.77,119.04,-14.27,6.23,1.86,114.09,94.43,51.25,57.7,81.05,LOSS
2026-05-04 09:54:00,24250,CE,124.85,137.4,124,129.65,5341960,24239.95,10.0,1,OPEN,35.8,17.6,69.6,136.77,131.35,5.42,7.12,1.42,147.77,129.29,219.7,189.3,176.55,WIN
2026-05-04 09:54:00,24250,PE,111.9,115.95,99.9,110.2,6006845,24239.95,10.0,1,OPEN,10.6,19.4,18.1,105.86,118.24,-12.38,4.34,1.78,114.46,95.53,60.35,78.25,91.6,LOSS
2026-05-04 09:57:00,24250,CE,129.45,138.75,127.85,137,2799225,24256.4,6.0,1,MORNING,69.3,17.1,71.4,136.82,131.87,4.95,0.18,0.77,145.96,129.0,215.3,183,179.1,WIN
2026-05-04 09:57:00,24250,PE,110.2,111.25,99.5,100.9,2774980,24256.4,6.0,1,MORNING,79.1,18.6,17.3,104.86,116.66,-11.8,3.96,0.7,113.82,96.32,61.95,81.8,88.65,LOSS
2026-05-04 10:00:00,24200,CE,167.4,175,156.3,156.4,4602780,24216.1,16.0,1,MORNING,58.8,16.4,67.4,164.65,160.63,4.01,8.25,1.28,177.03,157.61,221.95,181.3,187.2,WIN
2026-05-04 10:00:00,24200,PE,81,90.8,75,90.8,5890625,24216.1,16.0,1,MORNING,62.0,16.7,21.0,86.39,95.43,-9.04,4.41,1.08,93.18,77.18,57.7,81.05,79.7,LOSS
2026-05-04 10:03:00,24250,CE,126.4,131.9,117.05,130.9,4681495,24243.55,6.0,1,MORNING,30.3,16.2,66.9,134.18,131.43,2.74,3.28,1.23,142.75,126.31,189.3,176.55,218.75,WIN
2026-05-04 10:03:00,24250,PE,112.45,122.05,105.1,106,5953090,24243.55,6.0,1,MORNING,38.1,17.3,20.8,106.14,115.26,-9.12,0.14,1.4,115.12,97.66,78.25,91.6,55.2,LOSS
2026-05-04 10:06:00,24250,CE,129.9,135.6,120.6,127.85,3497000,24232.0,18.0,1,MORNING,13.7,15.9,65.1,132.91,131.11,1.8,5.06,0.82,141.32,125.17,183,179.1,195.65,WIN
2026-05-04 10:06:00,24250,PE,107.6,118.2,99.35,107.75,4017585,24232.0,18.0,1,MORNING,0.8,16.3,21.5,106.46,114.58,-8.12,1.29,0.82,115.73,98.0,81.8,88.65,69.25,LOSS
2026-05-04 10:09:00,24200,CE,157.5,158,143.55,144.6,2845960,24207.15,7.0,1,MORNING,89.3,18.5,60.6,158.92,158.88,0.04,14.32,0.64,169.49,151.92,181.3,187.2,206,WIN
