timestamp,strike,type,open,high,low,close,volume,spot_ref,atm_distance,dte,session_block,body_pct,adx,rsi,ema9,ema21,ema_spread,ema9_gap,volume_ratio,ema9_high,ema9_low,fwd_3c,fwd_6c,fwd_9c,fwd_outcome
2026-05-12 15:27:00,23450,CE,245.3,248.35,242.9,244.1,182195,23436.9,13.0,6,OPEN,22.0,46.2,45.7,234.73,244.52,-9.8,9.37,2.55,238.46,228.9,,,,
2026-05-12 15:27:00,23450,PE,231.95,233.45,224.35,232.8,128375,23436.9,13.0,6,OPEN,9.3,28.8,52.4,239.96,233.43,6.53,7.16,1.81,245.71,235.15,,,,
2026-05-13 09:15:00,23450,CE,243.65,276.75,227.4,229.75,2256280,23437.3,13.0,6,OPEN,28.2,44.4,38.0,233.73,243.18,-9.45,3.98,22.77,246.12,228.6,,,,
2026-05-13 09:15:00,23450,PE,221.45,234.9,185.25,226.8,2477345,23437.3,13.0,6,OPEN,10.8,29.5,48.2,237.33,232.82,4.5,10.53,28.79,243.55,225.17,,,,
2026-05-13 09:18:00,23400,CE,256.1,264,249.95,256.4,1659645,23387.2,13.0,6,OPEN,2.1,42.3,38.4,259.07,268.48,-9.42,2.67,1.95,271.43,252.53,,,,
2026-05-13 09:18:00,23400,PE,204.55,211.1,195.4,204.85,3239210,23387.2,13.0,6,OPEN,1.9,30.4,48.7,212.4,209.57,2.84,7.55,2.91,219.79,201.59,,,,
2026-05-13 09:18:00,23450,CE,229.75,236.55,222.95,230.25,1411670,23429.9,20.0,6,OPEN,3.7,42.4,38.4,233.03,242.0,-8.97,2.78,2.63,244.21,227.47,,,,
2026-05-13 09:18:00,23450,PE,226.8,235,217.6,227.4,1488175,23429.9,20.0,6,OPEN,3.4,30.1,48.7,235.34,232.33,3.01,7.94,2.64,241.84,223.65,,,,
2026-05-13 09:21:00,23450,CE,230.25,242.8,215.2,240.15,1485445,23433.45,17.0,6,OPEN,35.9,39.8,45.7,234.46,241.84,-7.38,5.69,1.83,243.93,225.02,,,,
2026-05-13 09:21:00,23450,PE,227.4,246.6,215.2,217.05,1930110,23433.45,17.0,6,OPEN,33.0,29.6,42.1,231.68,230.94,0.74,14.63,2.27,242.79,221.96,,,,
2026-05-13 09:24:00,23400,CE,267.55,274.65,251,252.75,1833975,23402.9,3.0,6,OPEN,62.6,38.1,39.1,259.14,266.96,-7.83,6.39,1.18,271.99,250.35,,,,
2026-05-13 09:24:00,23400,PE,194.95,208.4,188.5,207.05,3312270,23402.9,3.0,6,OPEN,60.8,29.4,50.8,208.6,208.16,0.44,1.55,1.26,217.86,197.52,,,,
2026-05-13 09:27:00,23400,CE,252.75,264.25,238,239.8,1793610,23376.55,23.0,6,OPEN,49.3,35.5,34.1,255.27,264.49,-9.22,15.47,0.99,270.44,247.88,,,,
2026-05-13 09:27:00,23400,PE,207.05,228,195.55,228,3912285,23376.55,23.0,6,OPEN,64.6,27.4,61.5,212.48,209.96,2.51,15.52,1.23,219.89,197.13,,,,
