timestamp,strike,type,open,high,low,close,volume,spot_ref,atm_distance,dte,session_block,body_pct,adx,rsi,ema9,ema21,ema_spread,ema9_gap,volume_ratio,ema9_high,ema9_low,fwd_3c,fwd_6c,fwd_9c,fwd_outcome
2026-05-04 15:27:00,24000,CE,205.35,207.3,187.9,189.05,926965,23985.6,14.0,0,OPEN,84.0,17.8,45.0,202.84,199.96,2.88,13.79,0.85,211.37,194.55,,,,
2026-05-04 15:27:00,24000,PE,41.9,44.9,41.1,43.95,4503785,23985.6,14.0,0,OPEN,53.9,24.4,39.7,45.99,52.06,-6.07,2.04,1.15,49.34,42.9,,,,
2026-05-05 09:15:00,24050,CE,69.95,97.7,28.2,62.15,19129370,24041.9,8.0,0,OPEN,11.2,19.1,22.4,147.62,157.22,-9.6,85.47,26.51,160.74,134.8,53.15,66.1,50.8,LOSS
2026-05-05 09:15:00,24050,PE,86.95,135,65,78.9,11546080,24041.9,8.0,0,OPEN,11.5,25.5,55.2,65.24,69.48,-4.25,13.66,5.41,79.71,59.28,79.55,67.4,75.7,LOSS
2026-05-05 09:18:00,24050,CE,62.15,86.9,59,67.5,19098950,24047.65,2.0,0,OPEN,19.2,22.4,24.7,131.59,149.06,-17.47,64.09,4.44,145.97,119.64,38.45,58.15,48.75,LOSS
2026-05-05 09:18:00,24050,PE,78.9,84,62,75.4,14276470,24047.65,2.0,0,OPEN,15.9,26.9,52.7,67.27,70.02,-2.75,8.13,3.57,80.57,59.82,98.85,73.05,76.15,WIN
2026-05-05 09:21:00,24050,CE,67.5,74.05,60.5,69.5,12582180,24053.4,3.0,0,OPEN,14.8,25.5,25.6,119.17,141.83,-22.65,49.67,1.58,131.59,107.81,58.25,47.1,55.3,LOSS
2026-05-05 09:21:00,24050,PE,75.4,81.2,64.85,67.7,12148695,24053.4,3.0,0,OPEN,47.1,28.2,47.5,67.35,69.81,-2.46,0.35,1.91,80.7,60.83,73.65,82.4,64.45,NEUTRAL
2026-05-05 09:24:00,24000,CE,98.15,103.1,58.8,58.8,16934905,23979.8,20.0,0,OPEN,88.8,30.0,22.0,131.45,163.01,-31.56,72.65,1.46,151.22,120.39,66.1,50.8,59.4,LOSS
2026-05-05 09:24:00,24000,PE,45.1,71.1,41.5,70.35,33873125,23979.8,20.0,0,OPEN,85.3,26.9,60.7,52.3,53.26,-0.96,18.05,2.03,61.22,43.75,67.4,75.7,58.8,LOSS
2026-05-05 09:27:00,24000,CE,58.8,65.6,54.35,60,17586855,23999.25,1.0,0,OPEN,10.7,32.8,22.5,117.16,153.64,-36.48,57.16,1.18,134.1,107.18,58.15,48.75,62.95,LOSS
2026-05-05 09:27:00,24000,PE,70.35,73.75,62.7,67.5,22597315,23999.25,1.0,0,OPEN,25.8,27.8,58.5,55.34,54.56,0.78,12.16,0.99,63.73,47.54,73.05,76.15,55,LOSS
2026-05-05 09:30:00,24050,CE,39.3,68.85,37.8,57.5,19436690,24035.4,15.0,0,OPEN,58.6,32.8,29.4,83.81,117.97,-34.16,26.31,1.23,97.79,73.55,47.1,55.3,53.7,LOSS
2026-05-05 09:30:00,24050,PE,98.8,101.3,65.75,75.6,10966995,24035.4,15.0,0,OPEN,65.3,31.6,50.1,78.37,75.1,3.28,2.77,0.84,91.38,66.72,82.4,64.45,61.95,LOSS
2026-05-05 09:33:00,24050,CE,57.5,78.1,56.6,74.9,13925470,24053.35,3.0,0,OPEN,80.9,33.4,36.1,82.03,114.05,-32.03,7.13,0.88,93.85,70.16,50.8,59.4,44.3,LOSS
2026-05-05 09:33:00,24050,PE,75.6,75.7,58.65,60.7,7481955,24053.35,3.0,0,OPEN,87.4,30.8,44.1,74.84,73.79,1.05,14.14,0.58,88.25,65.11,75.7,58.8,69,WIN
2026-05-05 09:36:00,24050,CE,74.9,77.6,54.45,64.95,15552355,24029.6,20.0,0,OPEN,43.0,34.0,34.1,78.61,109.59,-30.98,13.66,1.05,90.6,67.02,48.75,62.95,38.15,LOSS
2026-05-05 09:36:00,24050,PE,60.7,76.75,57.45,67.6,11711505,24029.6,20.0,0,OPEN,35.8,29.9,47.3,73.39,73.22,0.17,5.79,1.01,85.95,63.58,76.15,55,78.4,LOSS
